"app_id","app_name","size_bytes","price","rating_count_total","rating_count_current","user_rating_total","user_rating_current","content_rating","genre","support_devices","language_num"
"127","iStudiez Pro â€“ Homework, Schedule, Grades","56","2.99","7308","15","4.0","4.5","Everyone","Productivity","37","30"
"128","Zillow Real Estate - Homes for Sale & for Rent","133","0.00","342969","88478","4.5","4.5","Everyone","Lifestyle","37","1"
"129","2XL Supercross","271","4.99","6093","3","4.0","5.0","Everyone","Games","37","7"
"130","Pocket Tanks Deluxe","40","4.99","5452","39","4.5","4.5","Low maturity","Games","38","1"
"131","Wells Fargo Mobile","57","0.00","43064","216","3.0","2.5","Everyone","Finance","37","2"
"132","radio.de - Der Radioplayer","41","0.00","64","9","4.5","5.0","Everyone","Music","37","14"
"133","AutoScout24 - mobile used & new car market","141","0.00","220","2","4.5","5.0","Everyone","Productivity","37","13"
"134","Sky Burger - Build & Match Food Free","146","0.00","114096","2157","4.5","4.0","Everyone","Games","37","3"
"135","MindNode â€“ Delightful Mind Mapping","52","9.99","1296","4","4.0","5.0","Everyone","Productivity","37","13"
"136","Packing Pro","16","2.99","1293","31","4.0","5.0","Everyone","Travel","37","11"
"137","USAA Mobile","164","0.00","19946","13","4.0","2.5","Everyone","Finance","37","1"
"138","The Moron Test","46","0.00","88613","392","4.0","4.5","Everyone","Entertainment","37","1"
"139","Sunday Lawn","16","0.99","107727","55","3.5","4.5","Everyone","Games","37","1"
"140","Peggle Classic","224","0.99","21416","974","4.5","4.5","Everyone","Games","43","5"
"141","SmartGo Player","22","2.99","533","27","4.0","4.0","Everyone","Games","37","9"
"142","I Am T-Pain 2.0","21","2.99","32650","754","3.5","3.5","High maturity","Music","43","1"
"143","TextNow - Unlimited Text + Calls","131","0.00","164963","69","3.5","4.0","Everyone","Social Networking","37","3"
"144","Boating Weather","9","1.99","141","15","3.0","3.0","Everyone","Weather","40","1"
"145","Best Buy","181","0.00","80424","46","4.0","4.5","Everyone","Shopping","37","2"
"146","I Dig It","20","0.99","17190","180","4.0","4.5","Everyone","Games","40","1"
"147","Unblock Me","43","0.99","7973","127","4.0","5.0","Everyone","Games","40","15"
"148","Sonic The Hedgehog","37","2.99","19621","1191","4.0","4.5","Everyone","Games","37","1"
"149","10 Pin Shuffle Pro Bowling","37","3.99","7315","138","4.0","4.5","Everyone","Games","37","6"
"150","Sky News","92","0.00","118","0","3.0","0.0","High maturity","News","37","1"
